nws_id,physicalelement,datetime(GMT),sitename,wfo,latitude,longitude,soiltemp(F),depth(in),afos_id,extremum
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,48,2,KABRRR3ABR,Z
ALNM4,TB,9/30/2009 15:00,Albion 1NW,DTX,42.26194444,-84.77416667,53,2,KGRRRR2GRR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,51,2,KDLHRR3DLH,Z
BATM4,TB,9/30/2009 15:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,53,2,KGRRRR2GRR,Z
BELM4,TB,9/30/2009 15:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,54,2,KGRRRR2GRR,Z
CLRM4,TB,9/30/2009 15:00,Clarksville 2NW - MSU Ag Mesonet,GRR,42.87,-85.26,52,2,KGRRRR2GRR,Z
CSAI4,TB,9/30/2009 12:08,Castana Exp. Farm,OAX,42.06666667,-95.81666667,44,2,KOAXRR3OAX,Z
ENTM4,TB,9/30/2009 15:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,52,2,KGRRRR2GRR,Z
FEVM4,TB,9/30/2009 8:00,Fennville 3WSW - MSU Ag Mesonet,GRR,42.59,-86.15,54,2,KGRRRR2GRR,Z
FRMM4,TB,9/30/2009 15:00,Fremont 3S - WWTP / MSU Ag Mesonet,GRR,43.42,-85.95,53,2,KGRRRR2GRR,Z
GRJM4,TB,9/30/2009 14:00,Grand Junction 1W,GRR,42.4,-86.1,50,2,KGRRRR2GRR,Z
HFDM4,TB,9/30/2009 15:00,Hartford - MSU Ag Mesonet,GRR,42.22972222,-86.15583333,52,2,KGRRRR2GRR,Z
HRTM4,TB,9/30/2009 15:00,Hart - MI St Police,GRR,43.68861111,-86.37444444,53,2,KGRRRR2GRR,Z
HVLM4,TB,9/30/2009 15:00,Hudsonville - MSU Ag Mesonet,GRR,42.85944444,-85.88944444,54,2,KGRRRR2GRR,Z
LUNM4,TB,9/30/2009 15:00,Ludington - MAWN Ag Mesonet Site,GRR,43.90416667,-86.37972222,53,2,KGRRRR2GRR,Z
MRRM5,TB,9/30/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,47,2,KMPXRR3MPX,N
MUNM4,TB,9/30/2009 15:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,58,2,KGRRRR2GRR,Z
SPOM4,TB,9/30/2009 15:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,50,2,KGRRRR2GRR,Z
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,50,2,KLOTRR3LOT,N
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,48,2,KMPXRR3MPX,N
WEOM4,TB,9/30/2009 14:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,51,2,KGRRRR2GRR,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,52,2,KABRRR3ABR,Z
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,59,2,KINDRR3IND,N
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,50,4,KABRRR3ABR,Z
ALNM4,TB,9/30/2009 15:00,Albion 1NW,DTX,42.26194444,-84.77416667,54,4,KGRRRR2GRR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,54,4,KDLHRR3DLH,Z
BATM4,TB,9/30/2009 15:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,56,4,KGRRRR2GRR,Z
BELM4,TB,9/30/2009 15:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,55,4,KGRRRR2GRR,Z
BLFI3,TB,9/30/2009 12:00,Bluffton 4N,IWX,40.78333333,-85.16666667,55,4,KIWXRR3IWX,Z
CBGI2,TB,9/30/2009 13:00,Chicago Botanical Garden,LOT,42.14055556,-87.78666667,55,4,KLOTRR3LOT,N
CLRM4,TB,9/30/2009 15:00,Clarksville 2NW - MSU Ag Mesonet,GRR,42.87,-85.26,54,4,KGRRRR2GRR,Z
CSAI4,TB,9/30/2009 12:08,Castana Exp. Farm,OAX,42.06666667,-95.81666667,48,4,KOAXRR3OAX,Z
ENTM4,TB,9/30/2009 15:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,48,4,KGRRRR2GRR,Z
FEVM4,TB,9/30/2009 8:00,Fennville 3WSW - MSU Ag Mesonet,GRR,42.59,-86.15,55,4,KGRRRR2GRR,Z
FNVM4,TB,9/30/2009 12:00,Fennville 3W & 6E,GRR,42.59388889,-86.15583333,50,4,KGRRRR3GRR,Z
FRMM4,TB,9/30/2009 15:00,Fremont 3S - WWTP / MSU Ag Mesonet,GRR,43.42,-85.95,54,4,KGRRRR2GRR,Z
GPDM4,TB,9/30/2009 11:00,Grand Rapids - 44th St,GRR,42.9,-85.76666667,55,4,KGRRRR3GRR,N
GRJM4,TB,9/30/2009 14:00,Grand Junction 1W,GRR,42.4,-86.1,53,4,KGRRRR2GRR,Z
HFDM4,TB,9/30/2009 15:00,Hartford - MSU Ag Mesonet,GRR,42.22972222,-86.15583333,53,4,KGRRRR2GRR,Z
HRTM4,TB,9/30/2009 15:00,Hart - MI St Police,GRR,43.68861111,-86.37444444,51,4,KGRRRR2GRR,Z
HVLM4,TB,9/30/2009 15:00,Hudsonville - MSU Ag Mesonet,GRR,42.85944444,-85.88944444,55,4,KGRRRR2GRR,Z
ILX,TB,9/30/2009 12:00,Lincoln - Cntrl Il WFO,ILX,40.15138889,-89.33805556,63,4,KILXRR3ILX,N
IUKI2,TB,9/30/2009 12:00,Iuka 12SW,LSX,38.49305556,-88.97027778,56,4,KLSXRR3LSX,Z
LUNM4,TB,9/30/2009 15:00,Ludington - MAWN Ag Mesonet Site,GRR,43.90416667,-86.37972222,53,4,KGRRRR2GRR,Z
MMTI2,TB,9/30/2009 13:00,Monmouth 4NW - U Illinois Research Cntr,DVN,40.93611111,-90.71972222,59,4,KDVNRR3DVN,N
MRRM5,TB,9/30/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,48,4,KMPXRR3MPX,N
MUNM4,TB,9/30/2009 15:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,58,4,KGRRRR2GRR,Z
NWFM4,TB,9/30/2009 12:00,Nw Michigan Research Farm,APX,44.88305556,-85.67527778,54,4,KAPXRR3APX,N
OGDI2,TB,9/30/2009 11:00,Ogden,ILX,40.11,-87.95666667,62,4,KILXRR3ILX,Z
PDHK2,TB,9/30/2009 5:00,West Paducah 2SW,PAH,37.06833333,-88.7725,75,4,KPAHRR3PAH,Z
PEYI2,TB,9/30/2009 13:00,Perry 6NW,LSX,39.80583333,-90.82361111,52,4,KLSXRR3LSX,N
PYVI3,TB,9/30/2009 12:50,Perrysville,IND,40.07,-87.5,54,4,KINDRR3IND,N
SIUI2,TB,9/29/2009 21:00,Belleville - Siu Ag Farm,LSX,38.52,-89.84666667,57,4,KLSXRR3LSX,N
SNWI2,TB,9/30/2009 11:00,Streamwood,LOT,42.02555556,-88.17833333,53,4,KLOTRR3LOT,N
SPOM4,TB,9/30/2009 15:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,52,4,KGRRRR2GRR,Z
THTI3,TB,9/30/2009 12:00,Terre Haute,IND,39.35,-87.42,52,4,KINDRR3IND,N
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,57,4,KLOTRR3LOT,N
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,49,4,KMPXRR3MPX,N
WATI2,TB,9/30/2009 12:00,Watseka 2NW,LOT,40.79277778,-87.75555556,44,4,KLOTRR3LOT,N
WEOM4,TB,9/30/2009 14:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,55,4,KGRRRR2GRR,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,54,4,KABRRR3ABR,Z
WISI2,TB,9/30/2009 0:00,Windsor,ILX,39.43805556,-88.59861111,64,4,KILXRR3ILX,N
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,61,4,KINDRR3IND,N
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,54,8,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,56,8,KDLHRR3DLH,Z
